gene_ID
AT1G07400
AT4G03360
AT2G41231
AT4G08985
AT5G06345
AT2G34420
AT2G22880
AT1G69470
AT3G56970
AT4G30300
AT4G06685
AT2G08690
AT2G40440
AT3G14040
AT4G28088
AT1G09697
AT3G61930
AT5G15770
AT2G02720
AT2G31085
AT1G05317
AT5G07050
AT4G17160
AT4G36700
AT3G22490
AT1G71000
AT5G37050
AT1G04103
AT3G03700
AT5G28237
AT3G56350
AT3G12510
AT4G33070
AT2G18490
AT5G27807
AT1G05383
AT4G03725
AT3G19530
AT3G03540
AT2G45580
AT4G25860
AT3G21520
AT2G39030
AT3G07365
AT1G70680
AT2G31083
AT2G14620
AT1G32970
AT3G08475
AT3G60140
AT5G01865
AT5G03235
AT5G46040
AT2G31425
AT5G28510
AT5G65165
AT2G44260
AT5G28520
AT3G30210
AT4G26260
AT3G44300
AT1G32880
AT2G30290
AT5G51760
AT1G07587
AT1G66570
AT5G24770
AT1G73260
AT2G05875
AT3G01420
AT1G65330
AT4G39675
AT3G08435
AT4G12500
AT2G06185
AT5G43570
AT1G09380
AT3G24310
AT3G20395
AT1G21890
AT4G37990
AT1G67110
AT1G55207
AT4G04500
AT3G03815
AT3G50030
AT4G10860
AT2G09400
AT2G29380
AT4G39838
AT3G47720
AT2G34610
AT4G02655
AT3G47040
AT2G34350
AT1G14250
AT5G24420
AT5G66160
AT3G55890
AT2G20030
AT1G51035
AT5G06080
AT4G21120
AT3G25573
AT1G55525
AT5G04150
AT3G12502
AT4G28110
AT4G10270
AT3G52780
AT1G09247
AT1G72660
AT5G58050
AT1G06120
AT3G07105
AT4G37420
AT5G25130
AT4G04365
AT5G11360
AT2G27313
AT2G29470
AT5G24860
AT4G37430
AT5G44540
AT4G13480
AT4G09130
AT1G68450
AT2G47950
AT4G22467
AT5G13220
AT1G65690
AT4G10500
AT2G23970
AT1G65610
AT1G15625
AT5G24080
AT3G01895
AT4G26930
AT2G45220
AT2G33080
AT1G17744
AT3G02150
AT1G03220
AT5G40860
AT1G76470
AT5G22355
AT5G40790
AT4G16050
AT1G20180
AT3G29000
AT4G37070
AT5G00855
AT5G51160
AT3G21380
AT4G13890
AT2G03850
AT5G61490
AT5G09640
AT1G05450
AT5G48010
AT3G48580
AT4G16563
AT1G05287
AT2G19500
AT5G48570
AT2G33380
AT2G08440
AT5G52640
AT3G44006
AT4G16760
AT5G49620
ATMG01080
AT2G25540
AT2G20825
AT2G04190
AT4G21440
AT5G38910
ATMG01130
AT5G13080
AT5G20940
AT2G45360
AT2G08435
AT5G13580
AT2G26150
AT5G56870
AT1G49450
AT5G47990
AT2G39380
AT3G23120
AT5G45070
AT5G37990
AT5G03395
AT5G25190
AT3G22830
AT1G47510
AT2G17845
AT3G06435
AT2G14210
AT5G57620
AT1G17310
AT1G10360
AT1G05033
AT5G15180
AT5G55410
AT3G55900
AT1G52690
AT2G23110
AT2G15042
AT2G01920
AT2G19900
AT5G06230
AT4G16740
AT4G27450
AT3G46230
AT2G17850
AT5G09530
AT5G08725
AT1G71530
AT4G13554
AT4G03540
AT1G09510
AT1G69790
AT5G48000
AT1G32350
AT3G09450
AT5G40210
AT5G50260
AT1G04133
AT4G36795
AT5G66830
AT3G11340
AT4G34410
AT3G49130
AT2G40170
AT1G09627
AT1G62620
AT1G14240
AT3G03280
